var_description,var_name,SAF_EXPORT,MI_TYPE,MI_KEEP,adult_build_include,ped_build_include,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9
,CAN_GENDER,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_AGE_IN_MONTHS_AT_LISTING,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_PERM_ZIP,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_RACE_SRTR,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_CITIZENSHIP,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_EDUCATION,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_LIFE_SUPPORT,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_VAD_TY,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_WORK_INCOME,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_PREV_HL,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_PREV_HR,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_PREV_IN,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_PREV_KI,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_PREV_KP,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_PREV_LI,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_PREV_LU,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_PREV_PA,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_PRIMARY_PAY,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_WGT_KG,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_HGT_CM,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_BMI,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_ABO,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_DGN,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_DIAB_TY,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_DIAL,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_CEREB_VASC,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_MALIG,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_MOST_RECENT_CREAT,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_IMPLANT_DEFIB,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_PULM_ART_SYST,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_PULM_ART_DIAST,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_PULM_ART_MEAN,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_PCW_MEAN,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_CARDIAC_OUTPUT,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_HIST_CIGARETTE,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_CARDIAC_SURG,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_CARDIAC_SURG_TY,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_COGNITIVE_DEVELOP,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_MOTOR_DEVELOP,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_ACADEMIC_PROGRESS,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_ACADEMIC_LEVEL,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_SUDDEN_DEATH,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,CAN_PRIOR_CONGEN_SURG,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,PERS_ALL_DEATH_DT,TRUE,,TRUE,FALSE,FALSE,,,,,,,,,
,PERS_ESRD_DEATH_DT,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,PERS_OPTN_DEATH_DT,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,PERS_SSA_DEATH_DT,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,PERS_RESTRICT_DEATH_DT,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,REC_TX_DT,TRUE,,FALSE,FALSE,FALSE,,,,,,,,,
,PX_ID,TRUE,,TRUE,FALSE,FALSE,,,,,,,,,
,PERS_ID,TRUE,,TRUE,FALSE,FALSE,,,,,,,,,
,WL_ORG,TRUE,,TRUE,FALSE,FALSE,,,,,,,,,
,CAN_LISTING_CTR_CD,TRUE,,TRUE,FALSE,FALSE,,,,,,,,,
,CAN_LISTING_CTR_TY,TRUE,,TRUE,FALSE,FALSE,,,,,,,,,
,CAN_LISTING_DT,TRUE,,TRUE,FALSE,FALSE,,,,,,,,,
,CAN_LISTING_OPO_ID,TRUE,,TRUE,FALSE,FALSE,,,,,,,,,
,CAN_REM_DT,TRUE,,TRUE,FALSE,FALSE,,,,,,,,,
,CAN_DEATH_DT,TRUE,,TRUE,FALSE,FALSE,,,,,,,,,
,event_dt,,,TRUE,FALSE,FALSE,,,,,,,,,
,start_dt,,,TRUE,FALSE,FALSE,,,,,,,,,
,max_followup_censor_dt,,,TRUE,FALSE,FALSE,,,,,,,,,
,left_time,,,TRUE,FALSE,FALSE,,,,,,,,,
,right_time,,,TRUE,FALSE,FALSE,,,,,,,,,
,event,,,FALSE,FALSE,FALSE,,,,,,,,,
,ctr_id,,,TRUE,FALSE,FALSE,,,,,,,,,
,can_male,,binary,FALSE,TRUE,TRUE,0,1,,,,,,,
,can_age,,continuous,FALSE,TRUE,TRUE,,,,,,,,,
,can_race,,categorical,FALSE,TRUE,TRUE,Asian,Black,Other,White,,,,,
,can_citizen_status,,categorical,FALSE,TRUE,TRUE,NonCitizen_NonResident,NonCitizen_Resident,Citizen,,,,,,
,can_education,,categorical,FALSE,TRUE,TRUE,AssociateBachelor,Graduate,HighSchool,LessThanHS,SomeCollege,,,,
,can_lf_support,,binary,FALSE,TRUE,TRUE,0,1,,,,,,,
,can_vad_status,,binary,FALSE,TRUE,TRUE,0,1,,,,,,,
,can_work_for_income,,binary,FALSE,TRUE,FALSE,0,1,,,,,,,
,can_payer,,categorical,FALSE,TRUE,TRUE,Other,Private,PublicMedicaid,PublicNonMedicaid,,,,,
,can_weight_kg,,continuous,FALSE,TRUE,TRUE,,,,,,,,,
,can_height_cm,,continuous,FALSE,TRUE,TRUE,,,,,,,,,
